Id,Relevance,Ref,Version,Lang,Content,Field,Score
25,--,"Tur HaAroch, Exodus 3:19:1","Tur on the Torah, trans. Eliyahu Munk",en," describes later progressively as יד חזקה, זרוע נטויה, אותות ומופתים, “a strong hand, an outstretched arm, a variety of supernatural miracles.”
    All these instruments of G’d’s persuavive power would have to be experienced by Pharaoh before he would dismiss the Israelites.
",original,5.171224
26,--,Eruvin 32a:13,William Davidson Edition - Aramaic,he,ורב נחמן התם כדרב חנינא חוזאה דאמר רב חנינא חוזאה חזקה הוא על חבר שאינו מוציא דבר שאינו מתוקן מתחת ידו,aggresive-ngram,12.87521
27,--,Rashi on Proverbs 3:18:1,On Your Way,he,למחזיקים בה . לאוחזים בה כמו וישלח ידו ויחזק בו ( שמות ד ) : ,aggresive-ngram,35.743202
28,--,"Zohar Chadash, Shir HaShirim 518",Zohar Chadash,he,"מיד (שמות יד) ויחזק ה' את לב פרעה וירדף אחרי בני ישראל ובני ישראל יוצאים ביד רמה. מיד רמה לא כתיב, אלא ביד רמה. איהי יד דכתיב ביה, (שם) וירא ישראל את היד הגדולה, ההיא יד הגדולה איהי יד רמה. ",aggresive-ngram,31.604977
29,--,"Prisha, Yoreh Deah 309:24:1","Tur Yoreh Deah, Vilna, 1923",he, שוחטו מיד בחזקת כו' דהרי זה מום: ,hebmorph-standard,65.97101
30,--,Ibn Ezra on Exodus 17:16:1,Ibn Ezra on Exodus -- Torah Emet,he,כי יד. כמו כי אשא אל שמים ידי והטעם כי השם שם ידו על כסאו וזאת היא שבועה. ור' ישועה אמר כי יד חזקה תהיה ליושב בראשונה על כסא ישראל. כאשר נאמר בשלמה על כסא ה'. והטעם על שאול:,aggresive-ngram,31.592823
31,--,"Shulchan Arukh, Choshen Mishpat 149:26",Torat Emet 363,he,"אריס של בתי אבות שהוריד אריסין תחת ידו, יש לו חזקה, שאין מורידין אריסין אחרים לנכסי אדם והוא שותק. אבל אם חלק לאריסין אחרים שהיו בה, אין לו חזקה, שמא ממנה על האריסים עשו אותו: 
",aggresive-ngram,12.238051
32,--,Rashi on Jeremiah 6:23:1,On Your Way,he,"יחזיקו . יקחו כמו וישלח ידו ויחזק בו ( שם ד ) וכן צרה החזיקתני אחזתני :
",aggresive-ngram,35.75695
33,--,Rashbam on Bava Batra 57b:4:3,Vilna Edition,he,גבי ממונא - לענין חזקה:,hebmorph-exact,6.996866
34,--,"Sefat Emet, Leviticus, Passover 20:5","Sefat emet, Piotrków, 1905-1908",he,". אימתי כשהן מתנות שמים ובאות בכח התורה ע""ש. וכה""א אל יתהלל כו' בזאת יתהלל כו' השכל וידוע אותי. והג' רגלים רמז לג' מתנות אלו. חכמה הוא בקבלת התורה בשבועות. וגבורה בפסח יד חזקה ואיזהו גבור הכובש את יצרו",original,0.63349295
35,--,"Abarbanel on Torah, Exodus 4:26:1","Torah Commentary of Yitzchak Abarbanel, Warsaw 1862",he, ההיא כי לא תתמיד זמן רב עתה תראה אשר אעשה לפרעה מהמכות והעונשים על מה שהרע להם בזה וכאלו הרעה ההיא עשאה לעצמו לא לבני ישראל כי ביד חזקה ישלחם והוא רמז למכת בכורות ובאותו יד חזקה שאעשה בהם יגרשם מארצו,original,0.22666618
36,--,Shabbat 108b:13,Wikisource Talmud Bavli,he,הוא היה אומר יד לעין תיקצץ יד לחוטם תיקצץ יד לפה תיקצץ יד לאוזן תיקצץ יד לחסודה תיקצץ יד לאמה תיקצץ יד לפי טבעת תיקצץ יד,original,6.762865
37,--,Job 5:15,Tanach with Ta'amei Hamikra,he,וישע מחרב מפיהם ומיד חזק אביון,hebmorph-standard,68.28419
38,--,Ibn Ezra on Psalms 83:16:2,Ibn Ezra on Psalms -- Daat,he,ובסופתך - רוח חזקה.,hebmorph-exact,6.996866
39,--,"Mishneh Torah, Leavened and Unleavened Bread 9:27",Wikisource Mishneh Torah,he,"""ביד חזקה"" – זה הדבר, כמו שנאמר (שמות ט): ""הנה יד יי הויה במקנך אשר בשדה, בסוסים בחמורים בגמלים בבקר ובצאן, דבר כבד מאד"".",ngram,23.194475
40,--,Metzudat David on Psalms 69:30:1,On Your Way,he,"ואני עני. עם שאני עני ובעל מכאוב ואין לאל ידי להתחזק מעצמי מ״‎מ תשועתך תשגבני:
",aggresive-ngram,35.671978
41,--,Haamek Davar on Deuteronomy 3:24:3,"Sefer Torat Elohim, Vilna 1879",he,"ואת ידך החזקה. לשדד הטבע. ומליצה זו בדרך משל כמו שאוחז את הגלגל ההולך בכח מים שוטף או אש. והוא בכחו עוצר את הגלגל זה נקרא יד חזקה וכך מכונה דרך הנס האוחז בגלגלי הטבע המתהלך בחזקה:
",aggresive-ngram,31.612698
42,--,Bava Batra 59a:12,Wikisource Talmud Bavli,he,מתני׳ הזיז עד טפח יש לו חזקה,hebmorph-exact,6.8878202
43,--,"Ba'er Hetev on Shulchan Arukh, Even HaEzer 3:12",Torat Emet 357,he," החזקה.  היינו חזקה שבניה כרוכים אחריה סומכים אפילו לענין יחוס עבי''ד סי' ע''ט ותו' קדושין ד' פ':  

",aggresive-ngram,13.428348
44,--,"Sefat Emet, Leviticus, Passover 2:4","Sefat emet, Piotrków, 1905-1908",he,"ביד חזקה ובזרוע נטוי'. פי' ז""ל מה שלא היו ראוין לגאולה נק' יד חזקה. אך עדיין יש להבין כי השי""ת כל יכול והי' יכול לגאול אותם באופן שיהיו ראוין. אך זה עצמו שמשבחין אותו. שהביא בנ""י במדריגה תחתונה כ""כ",original,1.2789965
45,--,Bartenura on Mishnah Eduyot 1:1:4,On Your Way,he,"על יד. אחר. כמו ועל ידו החזיק, בספר עזרא [ב, [נחמיה] ג, ח׳], שהוא כמו ואחריו החזיק [שם ט״ז ב׳]:",aggresive-ngram,31.212978
46,--,Rashba on Eruvin 97a:7,"Gerlitz edition, published by Oraita",he," לרשב""ג בגמ' מוקי לה בהא, דכיון דבדק של ראש ושל יד חזקה דבקי הוא בכתיבתן, אבל בצבתין בעינן תלתא להחזיק כל הצבתין. (והלכתא) [והלכך] כי אוקמא [כרבי] בדרישא, אקשי ליה מצבתין. ופרקינן דמודה רבי בצבתין דלזו שלישי ולזו בעינן קאמר, דמתלתא כיון דכל צבת וצבת מחד גברא הלכך כולהו בעו בדיקה.",original,5.1613607
47,--,Exodus 6:1,Tanach with Nikkud,he,ויאמר יהוה אל־משה עתה תראה אשר אעשה לפרעה כי ביד חזקה ישלחם וביד חזקה יגרשם מארצו,hebmorph-standard,72.36776
48,--,Rashbam on Bava Batra 36b:4:1,Vilna Edition,he,"ילמדנו רבינו ניר הוי חזקה - בשדה הבעל ודי בחזקת י""ב חדש ושני ימים:",aggresive-ngram,35.75695
49,--,Rashi on Exodus 3:19:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"לא יתן אתכם מלך מצרים להלך. אם אין אני מראה לוֹ ידי החזקה; כּלוֹמר, כּל עוֹד שׁאין אני מוֹדיעוֹ ידי החזקה, לא יתּן אתכם להלך:",aggresive-ngram,37.925972
50,--,Haamek Davar on Exodus 9:29:3,"Sefer Torat Elohim, Vilna 1879",he,"כי לה׳ הארץ. ידיעה חדשה היינו שהארץ שלו וחס על ישובה ואינו רוצה בחורבנה כ״א מה שההכרח להודיע יד ה׳ כי חזקה היא. ועתה כי נודע יסיר ידו מלעשות שמות בארץ:
",original,7.35821
51,--,Rashi on Ezekiel 34:20:1,On Your Way,he,שה בריה . חזקה : ,hebmorph-exact,6.9915566
52,--,Haamek Davar on Exodus 16:3:1,"Sefer Torat Elohim, Vilna 1879",he,מי יתן מותנו ביד ה׳. היינו בעת שהיה יד חזקה זה הדבר על ישראל שהיה בשלשת ימי אפלה והכי מפרש במכילתא לואי מתנו בשלשה ימי אפלה של מצרים. והנה לשון התלונה בכלל פלא. ולמה לא אמרו מי יתן ועבדנו את מצרים,original,3.6006305
53,--,Gur Aryeh on Shemot 3:19:2,OYW,he," מכה אותו. ובשביל שחיבר הפסוק שלאחריו (פסוק כ) ""ושלחתי את ידי"" אל הפסוק הראשון, אמר 'משום ר' מנחם נאמר לי' ולא מאונקלוס. והרא""ם פירש 'כי מאז אשלח ידי וגומר' רוצה לומר שהוא ראיה על שאין לו יד חזקה, שהרי מיד כשאשלח בו יד יתן אתכם להלוך. ואין זה נכון, כמו שהקשה בעצמו, דאיך יתחבר אליו הוי""ו של ""ואחרי כן"":",original,6.205469
54,--,Rashi on Deuteronomy 7:19:4,On Your Way,he,והיד החזקה. זה הדבר: ,hebmorph-standard,88.24891
55,--,Malbim Beur Hamilot on Jeremiah 21:5:1,On Your Way,he,"ביד נטויה ובזרוע חזקה.  בכ''מ אמר יד חזקה וזרוע נטויה, לבד פה ? כי היד מציין את הדבר, וזרוע נטויה מציין החרב כמ''ש חז''ל, כי היד הוא הפועל בבלי אמצעי ומציין את הדבר שבא בלא אמצעי, והזרוע תפעול ע''י",infreq,18.374918
56,--,"Otzar Midrashim, Midrashim on Missing and Extra Letters 1:20","Otzar Midrashim, New York, 1915",he," שהכתוב משבחו, ולכל היד החזקה ולכל המורא הגדול אשר עשה משה לעיני כל ישראל (סוף דברים) איזו היא יד חזקה שעשה לעיני כל ישראל? הוי אומר זה שיבור הלוחות, כענין שנאמר ואשברם לעיניכם (שם י׳ י""ז).",original,7.239714
57,--,"Pesach Haggadah, Magid, First Fruits Declaration 17",Haggadah Shaliehsaboo Edition,he,ויוצאנו יהוה ממצרים ביד חזקה ובזרע נטויה ובמרא גדל ובאתות ובמפתים:,hebmorph-standard,18.491125
58,--,Avodah Zarah 41b:34,Wikisource Talmud Bavli,he,חזקה על חבר שאינו מוציא דבר שאינו מתוקן מתחת ידו,ngram,21.851433
59,--,Malbim on Ezekiel 39:21:4,On Your Way,he,"ואת ידי,  וכחי, כי העונש יהיה בדרך נס ויראו יד ה' כי חזקה היא :
",ngram,24.513927
60,--,Numbers 20:20,Tanach with Ta'amei Hamikra,he,ויאמר לא תעבר ויצא אדום לקראתו בעם כבד וביד חזקה,hebmorph-standard,56.293076
61,--,Joshua 4:24,Tanach with Nikkud,he,למען דעת כל־עמי הארץ את־יד יהוה כי חזקה היא למען יראתם את־יהוה אלהיכם כל־הימים,ngram,22.970142
62,--,Rashi on Ezekiel 3:14:2,On Your Way,he,"ויד ה' עלי חזקה . אכפו וכחו להוליכני על כרחי :
",hebmorph-standard,19.093693
63,--,Rashi on I Chronicles 25:3:2,On Your Way,he,על ידי אביהם ידותון . דוגמא על ידו החזיק ( נחמיה ג' ) : ,aggresive-ngram,44.707108
64,--,Bava Batra 50b:7,Wikisource Talmud Bavli,he,אימא אין דין חזקה לנזקין,ngram,21.06947
65,--,Bava Metzia 5b:3,Wikisource Talmud Bavli,he,"לא קשיא הא דידיה הא דעלמא דאי לא תימא הכי אנן חיותא לרועה היכי מסרינן והא כתיב (ויקרא יט, יד) לפני עור לא תתן מכשול אלא חזקה אין אדם חוטא ולא לו:",infreq,18.372278
66,--,"Chizkuni, Deuteronomy 34:12:1",Chizkuni,he,[ולכל היד החזקה אלו תשע מכות].,hebmorph-standard,66.29867
67,--,Metzudat David on Ezekiel 3:22:1,On Your Way,he,"יד ה׳. כח חוזק הנבואה:
",aggresive-ngram,13.042846
68,--,Midbar Shur 2:3,Midbar Shur,he," שיעבוד מלכיות. ונבאר דבר אחד מענין הגדה: ""עבדים היינו לפרעה כו' ויוציאנו ד' אלהינו משם ביד חזקה ובזרע נטויה, כו' מצוה עלינו לספר כו .""'ענין יד חזקה וזרע נטויה הוא ב' ענינים. שמאז, בגלות מצרים, כבר היו שאר",original,0.7638307
69,--,"Minhat Kenaot, Correspondence 22:1","Minhat Kenaot, Pressburg, 1838.",he,", והקול נשמע מהר ציון הלז היא הנפש, ישמח האב ביוצאי חלציו ותגלנה עצמות כל דמודיע הקרוב לנפש להשיב נפש, ראו כי ה' נתן לכם לב חזק מצור זרוע נטויה יד חזקה אצבע יתירה נפש רחבה ומדנפשה קלי נפש, אם החרש",original,0.45249495
70,--,Rashi on Exodus 6:1:2,On Your Way,he,כי ביד חזקה ישלחם. מפני ידי החזקה שתחזק עליו ישלחם: ,hebmorph-standard,77.74758
71,--,Bartenura on Mishnah Yoma 3:4:6,On Your Way,he,"על ידו. בשבילו. אי נמי על ידו, אחריו וסמוך לו כמו ועל ידו החזיק. בספר עזרא {ג׳}: 

",aggresive-ngram,31.275303
72,--,Rashi on Numbers 20:20:1,On Your Way,he,"וביד חזקה. בהבטחת זקננו והידים ידי עשו:
",hebmorph-standard,67.97289
73,--,Metzudat David on Daniel 2:37:2,On Your Way,he,"די. אשר אלהי השמים נתן לך מלכות חזקה תקיפה וחשובה:
",aggresive-ngram,16.05024
74,--,Metzudat Zion on Jeremiah 38:12:1,On Your Way,he,"אצילות ידיך. הם בתי השחי כמו על כל אצילי ידי (יחזקאל יג):
",aggresive-ngram,35.778557
75,--,Metzudat David on Judges 3:10:2,On Your Way,he,"ותעז ידו. חזקה ידו לנצחו בכל פעם:
",hebmorph-standard,65.97101
76,--,Ezekiel 20:33,Tanach with Nikkud,he,חי־אני נאם אדני יהוה אם־לא ביד חזקה ובזרוע נטויה ובחמה שפוכה אמלוך עליכם,hebmorph-standard,64.010414
77,--,Rashi on Deuteronomy 34:12:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,ולכל היד החזקה. שׁקּבּל את התּוֹרה בּלּוּחוֹת בּידיו:,hebmorph-standard,55.15628
78,--,"Pesach Haggadah, Magid, First Fruits Declaration 20",Haggadah Shaliehsaboo Edition,he,ביד חזקה. זו הדבר. כמו שנאמר. הנה יד־יהוה הויה במקנך אשר בשדה בסוסים בחמרים בגמלים בבקר ובצאן דבר כבד מאד:,ngram,24.505247
79,--,Kiddushin 64b:2,William Davidson Edition - Aramaic,he,רבי סבר מה לי לשקר כי עדים דמי ואתו עדים עקרי חזקה ורבי נתן סבר מה לי לשקר כי חזקה דמי לא אתי חזקה ועקרה חזקה לגמרי,hebmorph-exact,7.029277
80,--,"Bekhor Shor, Numbers 27:18:2","Bekhor Shor, HaTzofeh LeHokhmat Yisrael VIII, Budapest, 1928",he,"וסמכ' את ידך עליו. כמו מיסמך סבי. ולפי הפשט שתחזיק בו כמו ""ויתן לו ידו ויחזקיהו באלהים"":
",aggresive-ngram,31.294975
81,--,"Siftei Hakhamim, Numbers 20:20:1",Siftei Hakhamim,he,"ע דאם לא כן ביד חזקה למה לי כל עם כבד יש לו יד חזקה:  
",hebmorph-standard,76.4258
82,--,Rashi on Jeremiah 20:7:2,On Your Way,he,. חזקתני  הכבדת עלי ידך החזקה ללכת על כרחי : ,hebmorph-standard,54.975845
83,--,Metzudat David on Ezekiel 20:33:2,On Your Way,he,"ביד חזקה. ר״ל שיכוף אותם בחמה שפוכה לעבוד את ה׳:
",hebmorph-standard,55.15628
84,--,"Mahberet Menachem, Letter Mem 17:4","Mahberet Menahem, London, 1854.",he,"‎השלישי, יען מחאך יד (יחזקאל כה, ו), ימחאו כף (ישעיהו נח, יב), ומחה אל כתף ים כנרת (במדבר לד, יא), וזקיף יתמחא עלהי (עזרא ו, יא), ומחי קבלו (יחזקאל כו, ט), ענין מכה הם.",aggresive-ngram,31.592823
85,--,Bava Batra 28b:2,William Davidson Edition - Aramaic,he,אלא מעתה חזקה שאין עמה טענה תיהוי חזקה אלמה תנן כל חזקה שאין עמה טענה אינה חזקה,ngram,20.759224
86,--,"Shulchan Arukh, Even HaEzer 87:1",Torat Emet Freeware Shulchan Aruch,he,"אין לאיש חזקה בנכסי מלוג של אשתו שאכלם שני חזקה, אף על פי שהתנה עמה שאין לו פרות בנכסיה. וכן אין לאשה חזקה בנכסי בעלה, על ידי שאכלתם שני חזקה. הגה: ודוקא בחזקה כזו, אבל בחזקת נזיקין, כגון פתיחת",hebmorph-standard,24.942543
87,--,Tikkunei Zohar 90a:1,Tikkunei Zohar,he," דתמן כתיבה, ואיהי חרות על הלחת, יד כותבת ויד חותמת, ואיהי חד יד הגדולה דאתמר בה (שמות יד לא) וירא ישראל את היד הגדולה, ותניינא יד החזקה הדא הוא דכתיב (דברים ד לד) וביד חזקה וכו', ורזא דמלה יהו''ה",hebmorph-exact,8.605989
88,--,Haamek Davar on Exodus 10:22:1,"Sefer Torat Elohim, Vilna 1879",he,"את ידו. כאן לא כתיב מטהו כמו במכת ברד וארבה. ובא לרמז בזה שכן בא עי״ז יד חזקה הוא הדבר שבישראל שמתו אז אנשים שלא רצו לצאת. ועי׳ עוד פ׳ הסמוך:
",aggresive-ngram,31.624073
89,--,Ibn Ezra on Deuteronomy 11:2:2,Ibn Ezra on Devarim -- Torat Emet,he,את גדלו את ידו החזקה וזרועו הנטויה. להוציא אתכם ממצרים:,hebmorph-standard,54.975845
90,--,Rashi on Eruvin 25a:18:1,Vilna Edition,he,"לא קא שבח - ולאו חזקה היא ואנן נעל גדר ופרץ כל שהוא תנן (ב""ב דף מב.) מידי דמהני הוי חזקה:",hebmorph-standard,18.47987
91,--,Makkot 18b:46,Wikisource Talmud Bavli,he,אתיא יד יד משלמים,original,7.542469
92,--,"Bekhor Shor, Exodus 3:19:1","Bekhor Shor, Leipzig, 1856",he,"ולא ביד חזקה. י""ל לא מפני שידו חזקה ונר' ולא ביד חזקה ואפי' כשתחזיק ידי עליו ולא ישלח עד שאשלח והכיתי אותו בכל נפלאותי אבל לאחר כן ישלח בעל כרחו:
",aggresive-ngram,13.4972
93,--,Ikar Siftei Hachamim on Numbers 20:20:1,On Your Way,he,דאם לא כן ביד חזקה למה לי כל עם כבד יש לו יד חזקה:,hebmorph-standard,76.42678
94,--,Malbim on I Kings 12:4:9,On Your Way,he,"אשר נתן עלינו אחר שנתנו ביד חזקה ושלא כדין :
",hebmorph-standard,55.15628
95,--,Gur Aryeh on Shemot 6:1:3,OYW,he,"מפני ידי החזקה כו'. ""כי ביד חזקה"" רוצה לומר ידו של הקב""ה החזקה, דאין לפרש בידו של פרעה שתהיה חזקה עליהם כדכתיב (להלן יב, לג) ""ותחזק מצרים על העם"", דזהו נאמר אחריו ""וביד חזקה יגרשם מארצו"" (כן הוא ברא""ם):",ngram,19.910366
96,--,Exodus 13:9,Tanach with Text Only,he,והיה לך לאות על־ידך ולזכרון בין עיניך למען תהיה תורת יהוה בפיך כי ביד חזקה הוצאך יהוה ממצרים,hebmorph-standard,67.60698
97,--,Footnotes on Mekhilta DeRabbi Shimon Bar Yochai 13:2:7,"Mechilta de-Rabbi Simon b. Jochai, Dr. D. Hoffman, Frankfurt 1905",he,וכן בספרי ואתחנן דריש ואת ידן החזקה אלו עשר מכות.,hebmorph-standard,54.975845
98,--,Metzudat Zion on Amos 9:1:2,On Your Way,he,וירעשו. ענין תנועה חזקה: ,hebmorph-exact,6.9707594
99,--,Sforno on Exodus 13:9:1,On Your Way,he,"כי ביד חזקה הוציאך בשנותו את טבע הבלתי נפסדים, כאמרו בענין בקיעת הירדן למען דעת כל עמי הארץ את יד ה' כי חזקה היא:

",ngram,24.293575
100,--,Rashi on Job 20:22:4,On Your Way,he,"כל יד עמל תבואנו . תחזק עליו ותצר יד עניים :
",infreq,19.019304
101,--,Nehemiah 3:8,Tanach with Text Only,he,על־ידו החזיק עזיאל בן־חרהיה צורפים ועל־ידו החזיק חנניה בן־הרקחים ויעזבו ירושלם עד החומה הרחבה,aggresive-ngram,45.423027
102,--,Rashi on Proverbs 4:13:1,On Your Way,he,"החזק במוסר אל תרף . אחוז בתורה כמו והחזיקי את ידך בו ( בראשית כא ) וישלח ידו ויחזק בו ( שמות ד ) :
",aggresive-ngram,31.275303
103,--,II Samuel 15:5,Tanach with Nikkud,he,והיה בקרב־איש להשתחות לו ושלח את־ידו והחזיק לו ונשק לו,aggresive-ngram,35.765686
104,--,Nehemiah 3:10,Tanach with Nikkud,he,ועל־ידם החזיק ידיה בן־חרומף ונגד ביתו ועל־ידו החזיק חטוש בן־חשבניה,aggresive-ngram,35.75695
105,--,Nehemiah 3:12,Tanach with Nikkud,he,ועל־ידו החזיק שלום בן־הלוחש שר חצי פלך ירושלם הוא ובנותיו,aggresive-ngram,35.778557
106,--,Metzudat David on Ezekiel 1:3:2,On Your Way,he,"יד ה׳. כח חוזק הנבואה:
",aggresive-ngram,13.011415
107,--,Metzudat David on Ezekiel 20:34:2,On Your Way,he,"ביד חזקה. אכביד ידי עליהם ואשפוך עליהם חמתי בתת בלב העמים לגרשם ולהוציאם מארצם:
",aggresive-ngram,12.828474
108,--,Rashbam on Bava Batra 33a:2:2,Vilna Edition,he,לקוחה היא בידי - דהא אכלתיה שני חזקה בחיי אבוהון:,hebmorph-standard,19.019432
109,--,Metzudat Zion on Isaiah 30:13:3,On Your Way,he,נשגבה. חזקה: ,ngram,23.484877
110,--,Rashi on Ketubot 103a:18:1,Vilna Edition,he,שיפצה - חזקה בדקיה:,hebmorph-exact,6.996866
111,--,Psalms 136:12,Tanach with Nikkud,he,ביד חזקה ובזרוע נטויה כי לעולם חסדו,hebmorph-standard,66.29867
112,--,"Pesach Haggadah, Magid, The Ten Plagues 4",Pesach Haggadah,he,"דבר אחר: ביד חזקה שתים, ובזרע נטויה שתים, ובמרא גדל - שתים, ובאתות - שתים, ובמפתים - שתים. ",hebmorph-standard,59.683537
113,--,Rashi on Ketubot 20a:4:3,Vilna Edition,he,אבל לית ליה בהו חזקה דאבהתא - אלא חזקה דנפשיה שקנאן הוא והוחזקו בידו כקנייתו כך מכירתו ואין חזקתו חזקה לבטל מכירתו:,ngram,20.616798
114,--,Exodus 3:19,Tanach with Nikkud,he,ואני ידעתי כי לא־יתן אתכם מלך מצרים להלך ולא ביד חזקה,hebmorph-standard,54.999046
115,--,Or HaChaim on Exodus 13:16:1,On Your Way,he,", ודבריהם אמת, אלא שנראה לי לתת טוב טעם כי הכתוב עצמו נתן טעם הדבר במה שכתב כי בחוזק יד, כי יש לך לדעת כי האדון ברוך הוא יש במדותיו ב' בחינות, הא' תקרא יד הגדולה, והא' תקרא יד החזקה, היד הגדולה היא צד",aggresive-ngram,40.68956
116,--,Bava Batra 174b:19,Wikisource Talmud Bavli,he,אמר רב הונא שכיב מרע שהקדיש כל נכסיו ואמר מנה לפלוני בידי נאמן חזקה אין אדם עושה קנוניא על הקדש,hebmorph-standard,18.314358
117,--,Ibn Ezra on Psalms 80:18:1,Ibn Ezra on Psalms -- Daat,he,"תהי - כל יד ואחריו בי""ת לגנאי, והיתה יד ה' בהם, הנה יד ה' הויה במקנך ואם איננה בבי""ת היא לשבח, תהי ידך לעזרני, ויד ה' עלי חזקה, היתה עלי יד ה'. וכן היא: תהי עזרתך על איש ימינך - פירש כי הכנה אשר נטע ימינו דרך משל. והנמשל הוא על ישראל, או משיח בן אפרים וכנגד ועל בן הזכיר על בן אדם.",original,8.241131
